amenity	name	operator	addr:housenumber	addr:neighbourhood	addr:place	tourism	brand	layer	ref:mise	wheelchair	name:ru	alt_name	religion	wikidata	addr:postcode	ethnicity	museum	name:hu	opening_hours	phone	denomination	cuisine	diet:kosher	addr:city	addr:street	email	website	wikipedia	atm	shop	name:en	contact:housenumber	contact:street	fax	internet_access	rooms	stars	takeaway	toilets	ferry	public_transport	cargo	description:en	dispensing	toilets:wheelchair	name:it	source	url	short_name	note	ref:vatin	restaurant:type:it	authorization	addr:country	internet_access:fee	name:es	name:zh	start_date	name:de	FIXME	loc_name	description	image	maintenance	source:pkey	wetap:credit	wetap:photo	wetap:status	contact:phone	organic	contact:facebook	contact:skype	smoking	is_in	outdoor_seating	fixme	fuel:lpg	wifi	contact:twitter	capacity	diet:gluten_free	name:ko	contact:email	artwork_type	name:be	name:nl	name:pl	name:pt	name:ro	name:sh	name:sr	name:uk	local_name	historic	entrance	building	source:name	addr:hamlet	delivery	ref:enel:code	ref:enel:serial_number	name:fr	salt	brand:wikidata	brand:wikipedia	ele	operator:wikidata	operator:wikipedia	books	second_hand	payment:bitcoin	payment:litecoin	tourism_1	barrier	croissant:type	price	microbrewery	tourism_2	description:hu	name:ja	addr:province	addr:housename	country	diplomatic	other	old_name	line	contact:website	vending	diet:vegan	diet:vegetarian	information	level	opening_hours:signed	note:it	breakfast	breakfast:buffet	swimming_pool	bus	description:de	highway	contact:fax	contact:neighbourhood	clothes	internet_access:ssid	faculty	contact:city	contact:postcode	addr:conscriptionnumber	canoe_rental	kayak_rental	artist_name	material	addr:unit	payment:american_express	payment:cash	payment:credit_cards	payment:debit_cards	payment:maestro	payment:mastercard	payment:visa	payment:visa_debit	payment:visa_electron	emergency	shop_1	access	capacity:disabled	fee	lit	park_ride	parking	smoothness	surface	addr:number	boat:parts	name:cs	facebook	isced:level	operator:type	addr:suburb	guest_house
	Gallerie dell'Accademia		1050			museum				yes	Галерея Академии			Q338330	30123				Tu-Su 08:15-19:15; Mo 8:15-14:00	+ 39 041 5222247				Venezia	Campo de la Carità	infogallerie.venezia@beniculturali.it	http://www.gallerieaccademia.it/en	it:Gallerie dell'Accademia			Accademia Gallery															Galleria dell'Accademia								IT		Galería de la Academia	威尼斯美术学院	1817																																																																																																																											
restaurant	San Trovaso																										www.ristorantesantrovaso.it																																																																																																																																																										
restaurant	Taverna San Trovaso		1016							limited															Fondamenta Priuli																																																																																																																																																												
pharmacy	Farmacia Risorta																																											no																																																																																																																																									
pharmacy	del Redentore																																											no																																																																																																																																									
pharmacy	Farmacia Ghezzo ai S.S. Cosma e Damiano (ex Boldi)																																											no																																																																																																																																									
restaurant	ai Cacciatori	Claudio Renier e Massimiliano Gallo	320																24/7	+390415285849		italian				info@aicacciatori.it	http://www.aicacciatori.it				Trattoria Ai Cacciatori															Trattoria Ai Cacciatori													Trattoria Ai Cacciatori																																																																																																																										
pharmacy	Solveni																																											yes																																																																																																																																									
bank	Banco San Marco																												yes																																																																																																																																																								
	Prix	Prix Quality	203/A												30133				Mo-Sa 08:30-20:00; Su 09:00-13:00; Su 15:00-19:00	+39 041 5239825				Venezia	Giudecca		www.prixquality.com			supermarket																																																																																																																																																							
	American					hotel																																																																																																																																																																															
restaurant	ai Cugnai		857																						Piscina del Forner																																																																																																																																																												
	Hotel Bonvecchiati		4488			hotel									30124									Venezia	Calle Goldoni		www.hotelbonvecchiati.it										4																																																																																																																																																
bar	Cantinone già Schiavi		992																					Venezia	Dorsoduro, San Trovaso																																																																																																																																																												
restaurant	La Furatola		2870A		Dorsoduro																	regional		Venezia																																																																																																																																																													
	Ca' Leon D'Oro		5303	San Marco	San Marco	hotel									30124					+39 041 2413895						venezia.leondoro@libero.it	http://www.venezialeondoro.it/																																																																																																																																																										
	Boutique Brunetta																													sewing																																																																																																																																																							
restaurant	Al Redentor																					pizza																																																																																																																																																															
	Ca´ Pozzo					hotel																																																																																																																																																																															
cafe	Bar Arsenale		2408																																																																																																																																																																																		
restaurant	Trattoria all Antica Mola																					italian																																																																																																																																																															
	San Giorgio		3781		San Marco	hotel									30124					+39 041 5235835				Venezia	Rio Terà della Mandola	info@sangiorgiovenice.com	https://www.sangiorgiovenice.com/										3																	IT																																																																																																																															
	Paganelli		4182	Castello	Castello	hotel									30122					+39 041 5224324					Riva degli Schiavoni	info@hotelpaganelli.com	https://www.hotelpaganelli.com//										3																																																																																																																																																
	Hotel Gardena		239	Santa Croce		hotel														+39 041 0993670							https://www.hotelgardenavenice.it/										3																																																																																																																																																
	Prix									limited																				supermarket																																																																																																																																																							
ice_cream	Grom																																																																																																																																																																																				
	Locanda Marinella		345		Santa Croce	hotel														+39 041 2759457				Venezia	Rio Terà dei Pensieri	info@locandamarinella.com	https://www.locandamarinella.com/																																																																																																																																																										
	Hotel Florida		106A	Cannaregio	Cannaregio	hotel				no					30121					+39 041 715253						info@hotel-florida.com	https://www.hotel-florida.com//										2																																																																																																																																																
cafe	Santa Sofia									no												italian																								S. Sofia														name;adresse précise																																																																																																																									
restaurant	Anice Stellato		3272	Cannaregio	Cannaregio										30121				We-Su 10:30-15:00, 18:30-00:00	+39 041 720744		italian			Fondamenta de la Sensa		http://www.osterianicestellato.com/				Anice Stellato																																																																																																																																																						
	Hotel Nazionale		158	Cannaregio	Cannaregio	hotel				no										+39 041 716133						info@hotel-nazionale.it	https://www.hotel-nazionale.it/							+39 041 715318	wlan		3																		yes																																																																																																																														
	di Spagna					hotel														+39 041 715011						info@hotel-spagna.it	https://www.hotel-spagna.it/							+39 041 2750256			3																																																																																																																																																
	Continental					hotel																																																																																																																																																																															
	Ala Venice					hotel	Best Western																																																																																																																																																																														
	Squero Tramontin					attraction																					http://www.tramontingondole.it/																																																																																																																																																										
restaurant	Why&Not		3849	Cannaregio	Cannaregio																																																																																																																																																																																
place_of_worship	San Giovanni Decollato									no			christian	Q1080619							russian_orthodox							de:San Zan Degolà																																	San Zandegolà																																																																																																																								
	Scuola Grande di San Giovanni					attraction																																																																																																																																																																															
restaurant	Dona onesta																					seafood																																																																																																																																																															
ferry_terminal	Zattere (per Fusina)	Terminal Fusina																		+390415470160						fusina@terminalfusina.it	https://www.terminalfusina.it/													yes		passengers																																																																																																																																											
drinking_water	Chiesa del Santissimo Redentore																																														osmsync:findafountain															Beside Chiesa del Santissimo Redentore. Venice.	http://findafountain.org/system/900/original/italy-venice-chiesa-del-santissimo-redentore-outdoor-fountain.jpg	ok	1194																																																																																																																				
drinking_water	Ponte del Squero																																														wetap.org																		1195	ivanve1	http://mdcwetap.atwebpages.com/jpg.php?i=ivanve11376029526916.jpg	working																																																																																																																	
drinking_water	Sacca Fisola Boat Stop																																														osmsync:findafountain															Found near the municipal boat stop	http://findafountain.org/system/899/original/italy-venice-sacca-fisola-boat-stop-outdoor-fountain.jpg	ok	1193																																																																																																																				
	Danieli		4196	Castello	Castello	hotel								Q642615	30122					+39 041 5226480					Riva degli Schiavoni	danieli@luxurycollection.com	http://www.danielihotelvenice.com/										5																																																																																																																																																
	Hotel Bisanzio		3651	Castello	Castello	hotel	Best Western			limited																																																																																																																																																																											
	Hotel Locanda ai Bareteri		4966	San Marco	San Marco	guest_house																																																																																																																																																																															
	Al Ponte del Lovo		4819	San Marco	San Marco																									bakery																																																																																																																																																							
bar	Zanzibar		5840	Castello	Castello																																																																																																																																																																																
restaurant	Al Graspo de Ua		5094a	San Marco	San Marco																																																																																																																																																																																
fast_food	Rosticceria Gislon	Rosticceria S. Bartolomeo s.r.l.	5424a	San Marco	San Marco							Rosticceria San Bartolomeo										regional			Calle de la Bissa																										IT00361150279																		+39 041 5223569																																																																																																																
restaurant	Spaghetteria 6342 A Le Tole		6342	Castello	Castello														Mo-Su 12:00-15:30, 19:00-22:30	+39 0414768410		italian_pizza					http://www.6342aletole.it/								wlan																																																																																																																																																		
fast_food	Take Away		5604	Cannaregio	Cannaregio					no																																																																																																																																																																											
restaurant	Ostaria Boccadoro		5405a	Cannaregio	Cannaregio														Mo-Su 10:00-23:00			italian																																																																																																																																																															
	Hotel Casa Boccassini		5295	Cannaregio	Cannaregio	hotel																																																																																																																																																																															
restaurant	Algiubagio		5039	Cannaregio	Cannaregio										30125							italian					https://www.algiubagio.net/																				041 5236084																																																																																																																																						
	Lavanderia Ai Tre Ponti		274	Santa Croce						yes																				laundry																																																																																																																																																							
	Polo Nord		273	Santa Croce																										ice_cream																																																																																																																																																							
restaurant	Pizzeria Mangia e Fuggi		397	Santa Croce																+39 041 5241448																																																																																																																																																																	
	Hotel Olimpia		395	Santa Croce		hotel														+39 041 711041						info@hotel-olimpia.com	https://www.hotel-olimpia.com//							+39 041 5246777			3																																																																																																																																																
restaurant	Trattoria B&B alle Burchielle		393	Santa Croce																		italian																																																																																																																																																															
	Hotel Arlecchino		390	Santa Croce		hotel														+39 041 710723						info@hotelarlecchino.com	http://www.hotelarlecchino.com/							+39 041 710965			3																																																																																																																																																
restaurant	Trattoria ai Tre Ponti		271	Santa Croce																																																																																																																																																																																	
	Cuore Bio		3525	Dorsoduro																										convenience																																								yes																																																																																																															
bar	Il Vizietto																																																																																																																																																																																				
restaurant	Trattoria dalla Zanze		231	Santa Croce																																																																																																																																																																																	
	Hotel Walter		240	Santa Croce		hotel														+39 041 5238480						info@walterhotel.com	http://www.walterhotel.com/							+39 041 5239106			2																																																																																																																																																
	Hotel Canal		553	Santa Croce		hotel														+39 041 5238480						info@hotelcanal.com	https://www.hotelcanal.com/							+39 041 5239106			3																																																																																																																																																
cafe	Bar Mirabar		555a	Santa Croce																																																																																																																																																																																	
restaurant	Al Bagolo		1584a	Santa Croce																+39 041 717584																																																																																																																																																																	
restaurant	Ristorante Da Nino		565	Santa Croce																																																																																																																																																																																	
	Artigianato d'Arte di Vianello Mauro		2251	Santa Croce															Mo-Sa 10:30-18:00								http://www.glasshandmade.it			art																																																																																																																																																							
	Il Bouquet		1002a	Santa Croce															Mo-Sa 08:45-12:30,15:45-19:30; Su 08:45-12:30											florist																	local_knowledge																																																																																																																																						
ferry_terminal	"Ferrovia ""D"""	ACTV								yes																					actv2																																																																																																																																																						
	Galleria Santa Croce		1256	Santa Croce																										art																																																																																																																																																							
restaurant	Trattoria alle Lance		108	Cannaregio	Cannaregio					limited																																																																																																																																																																											
restaurant	Trattoria Il Vagone		106	Cannaregio	Cannaregio					no																																																																																																																																																																											
	Hotel Il Moro di Venezia		152	Cannaregio	Cannaregio	hotel				limited					30121					+39 041 0985730						info@hotelilmorodivenezia.com	http://www.hotelilmorodivenezia.com/																																												http://www.facebook.com/HotelIlMoroDiVenezia	hotelilmoro.venezia																																																																																																													
restaurant	Ristorante Kome		101	Cannaregio	Cannaregio					no										+39 041 716232		japanese				info@komesushi.it	http://www.komesushi.it/																							ex Ristorante Shangai																																																																																																																																			
ice_cream	Handay		1382	Cannaregio	Cannaregio					yes																																																												yes																																																																																																															
	Hotel Eden		2357	Cannaregio	Cannaregio	hotel				no										+39 041 5244003						info@htleden.com	http://www.htleden.com							+39 041 720228			3																																																																																																																																																
	Cartoleria		1120	Cannaregio	Cannaregio																									stationery																																																																																																																																																							
pub	theNeuPop																																																																																																																																																																																				
bar	Frulalà		5620	Cannaregio	Cannaregio					yes					30121												www.frulala.com																																																																																																																																																										
	Hotel al Vagon		5619	Cannaregio	Cannaregio	hotel				no					30131					+39 041 5285626						info@hotelalvagon.com	https://www.hotelalvagon.com/										1																																																																																																																																																
	Donà Palace		391	San Marco	San Marco	hotel				yes					30124					+39 041 2743511						info@donapalace.it	https://www.donapalace.it/								wlan		4																		no																		no																																																																																																												
restaurant	Vini Da Arturo																					italian																																																			no																																																																																																												
